#each column represents one technology flavors.
#options are itrs-hp, itrs-lstp, itrs-lop, lp-dram, comm-dram

==========================================================================
parameters  ||   hp      |   lstp    |   lop     |  lp-dram  | comm-dram || 
            ||           |           |           |           |           ||
==========================================================================
            ||           |           |           |           |           ||
-C_g_ideal  || 13.28e-16 |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-C_fringe   ||  0.16e-15 |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-C_junc     ||  2e-15    |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-C_junc_sw  || 0.25e-15  | 0.25e-15  | 0.25e-15  | 0.25e-15  | 0.25e-15  ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-l_phy      ||   0.12    |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-l_elec     ||   0.1     |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||__________________________
									  ||			|			|			|			|			||
-nmos_effective_resistance_multiplier ||	1.54    |	1.54    |	1.54    |	1.54    |	1.54    ||
______________________________________||____________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-Vdd        ||   1.5     |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-Vth        ||   0.4407  |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-Vdsat      ||   0.256   |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-I_on_n     ||  750e-6   |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-I_on_p     ||  350e-6   |     0     |    0      |   0       |    0      ||
____________||___________|___________|___________|___________|___________||
																		 ||
		I_off depends on Temperature [temp3-300]/10 is used as index     ||
_________________________________________________________________________||		
        |    ||           |           |           |           |           ||
-I_off_n|0   ||  7e-10    |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|10  ||  8.26e-10 |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|20  ||  9.74e-10 |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|30  ||  1.15e-9  |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|40  ||   1.35e-9 |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|50  || 1.60e-9   |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|60  ||  1.88e-9  |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|70  || 2.29e-9   |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|80  ||  2.70e-9  |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|90  ||  3.19e-9  |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________||
        |    ||           |           |           |           |           ||
-I_off_n|100 || 3.76e-9   |     0     |    0      |   0       |    0      ||
________|___ ||___________|___________|___________|___________|___________|| 
         |   ||          |           |           |           |           ||
-I_g_on_n|0  || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|10 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|20 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|30 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|40 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|50 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|60 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|70 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|80 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |   ||          |           |           |           |           ||
-I_g_on_n|90 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___||__________|___________|___________|___________|___________||
         |    ||          |           |           |           |           ||
-I_g_on_n|100 || 1.65e-10 |     0     |    0      |   0       |    0      ||
_________|___ ||__________|___________|___________|___________|___________||
            ||           |           |           |           |           ||
-C_ox       || 3.58e-14  |     0     |    0      |   0       |    0      ||
